BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,CONTRIBUTING_FACTOR_VEHICLE1,VEHICLE_TYPE_CODE1,CRASH_DATETIME,MONTH,HOUR,DAY_WEEK,DAY,CASUALTIES,icon
QUEENS,11372.0,40.754387,-73.89653,Turning Improperly,Taxi,2018-08-02 09:20:00,August,9,Thursday,2,No Damage,rain
MANHATTAN,10033.0,40.844845,-73.93519,Driver Inexperience,Taxi,2018-08-01 18:50:00,August,18,Wednesday,1,No Damage,rain
MANHATTAN,10128.0,40.78263,-73.9512,Following Too Closely,Taxi,2018-08-01 07:15:00,August,7,Wednesday,1,No Damage,rain
MANHATTAN,10035.0,40.800663,-73.94436,Traffic Control Disregarded,Taxi,2018-08-01 23:00:00,August,23,Wednesday,1,Injured or Killed,rain
BROOKLYN,11236.0,40.634575,-73.90596,Unspecified,Taxi,2018-07-31 09:00:00,July,9,Tuesday,31,Injured or Killed,partly-cloudy
QUEENS,11435.0,40.70179,-73.81601,Driver Inattention/Distraction,Taxi,2018-07-31 11:46:00,July,11,Tuesday,31,Injured or Killed,partly-cloudy
MANHATTAN,10001.0,40.750206,-74.00234,Failure to Yield Right-of-Way,Taxi,2018-07-31 20:13:00,July,20,Tuesday,31,No Damage,partly-cloudy
QUEENS,11415.0,40.719055,-73.8332,Failure to Yield Right-of-Way,Taxi,2018-07-31 17:00:00,July,17,Tuesday,31,No Damage,partly-cloudy
MANHATTAN,10011.0,40.74649,-74.001335,Unsafe Lane Changing,Taxi,2018-07-31 18:30:00,July,18,Tuesday,31,No Damage,partly-cloudy
MANHATTAN,10178.0,40.74775,-73.98086,Failure to Yield Right-of-Way,Taxi,2018-08-01 20:20:00,August,20,Wednesday,1,No Damage,rain
MANHATTAN,10002.0,40.714077,-73.98985,Unspecified,Taxi,2018-08-02 20:30:00,August,20,Thursday,2,No Damage,rain
MANHATTAN,10011.0,40.732212,-73.99862,Driver Inattention/Distraction,Taxi,2018-07-31 00:00:00,July,0,Tuesday,31,Injured or Killed,partly-cloudy
MANHATTAN,10025.0,40.79099,-73.96518,Unsafe Lane Changing,Taxi,2018-08-01 15:10:00,August,15,Wednesday,1,Injured or Killed,rain
MANHATTAN,10019.0,40.766,-73.98518,Driver Inattention/Distraction,Taxi,2018-08-01 22:00:00,August,22,Wednesday,1,Injured or Killed,rain
QUEENS,11434.0,40.68676,-73.78449,Unspecified,Taxi,2018-07-31 17:00:00,July,17,Tuesday,31,Injured or Killed,partly-cloudy
MANHATTAN,10037.0,40.820435,-73.93624,Other Vehicular,Taxi,2018-07-31 23:00:00,July,23,Tuesday,31,No Damage,partly-cloudy
MANHATTAN,10001.0,40.750206,-74.00234,Unsafe Lane Changing,Taxi,2018-08-02 01:00:00,August,1,Thursday,2,No Damage,rain
